periodo,tipoEntidad,entidad,clasificacionRiesgo,tipoCartera,cantidadPlastico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,BANESCO,D2,Créditos comerciales,11,34,586394329.2599999,4524547080.0,7.715877958284063,583155815.31,21585161.80999999,208386.01,5579477.05,559772344.54,31312442.36
2020-01,BANCOS MÚLTIPLES,BDI,B,Créditos Hipotecarios,0,14,91608438.04,1008243503.11,11.0060112876257,89982378.46000001,20483212.7,619655.03,0.0,71688458.87,1393623.1
2020-01,BANCOS MÚLTIPLES,BHD,D2,Créditos Hipotecarios,0,9,23125558.99,302854300.9803,13.09608563889249,22185047.55,23125558.99,0.0,0.0,21319663.85,4730805.28
2020-01,BANCOS MÚLTIPLES,BANESCO,D2,Créditos de consumo,0,862,80282964.57000002,1690252924.1975,21.05369343609305,76058865.91999999,68598106.58000003,89691.75,1466131.37,0.0,45727894.87000003
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,A,Créditos Hipotecarios,0,26724,43091452946.10006,426601645185.9236,9.89991323150622,42881311722.11001,0.0,0.0,472823969.76,37546132429.82,440148904.7199996
2020-01,BANCOS MÚLTIPLES,BANESCO,D1,Créditos Hipotecarios,0,2,7135186.300000001,81595301.04,11.43562306705292,6888801.95,7135186.300000001,0.0,0.0,7135186.300000001,68888.02
2020-01,BANCOS MÚLTIPLES,BANESCO,B,Créditos Hipotecarios,0,19,82177911.97,1011313256.7605,12.30638784214537,80382132.49,897017.8,897017.8,0.0,80796379.96000001,849409.76
2020-01,BANCOS MÚLTIPLES,BHD,B,Créditos comerciales,569,2544,13621999293.80998,125967731328.7397,9.247374677664324,13554239811.52999,27640456.41000002,27640456.41000002,539390425.9899999,7769466852.039999,266105132.4599999
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,C,Créditos comerciales,264,1549,14719014153.37,107347509183.764,7.293118144001933,14579936849.77,48592846.55999997,43653904.46999995,723886425.32,13019909660.76,303281571.33
2020-01,BANCOS MÚLTIPLES,BDI,D2,Créditos Hipotecarios,0,1,564844.84,7342982.92,13.0,546107.72,564844.84,0.0,0.0,546107.72,16383.23
2020-01,BANCOS MÚLTIPLES,BHD,E,Créditos comerciales,57,352,1125141657.909999,13301336184.9068,11.82192134776577,1074992406.99,580005654.1000005,20293420.97,3483730.66,588770038.1499999,644609584.0500002
2020-01,BANCOS MÚLTIPLES,BANESCO,D2,Tarjetas de créditos,1438,1706,69820130.24999999,4176504840.000001,59.81806142505731,58062921.49999999,69662614.11999999,0.0,0.0,0.0,34847302.18000001
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,C,Tarjetas de créditos,6256,6868,151532024.01,8851869895.200012,58.41583621040957,137317233.81,91624095.01000008,0.0,2421106.439999999,0.0,28422093.92000005
2020-01,BANCOS MÚLTIPLES,BANESCO,E,Créditos comerciales,0,5,13766568.04,222829574.0805,16.18628356995357,12604177.37,11936223.77,100000.0,0.0,0.0,12676099.05
2020-01,BANCOS MÚLTIPLES,BANESCO,C,Créditos de consumo,0,517,51101061.1,1042786180.8765,20.40635083557002,48441445.21,9754928.650000002,3373773.0,0.0,6205050.0,8994811.430000002
2020-01,BANCOS MÚLTIPLES,BHD,C,Créditos Hipotecarios,0,123,330750343.69,3914264152.5586,11.83449761197314,320724461.2499999,5838069.430000002,5838069.430000002,0.0,262800106.44,15634549.77
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,D2,Créditos Hipotecarios,0,103,200263887.95,2452073601.408801,12.24421250635567,193878803.37,97731512.86999999,1811712.23,0.0,139099835.24,60852986.57000001
2020-01,BANCOS MÚLTIPLES,BELLBANK,A,Créditos de consumo,0,3641,291293384.6399999,4577630724.118,15.71484614995753,287963984.26,0.0,0.0,16146695.04,6260666.32,2912916.52
2020-01,BANCOS MÚLTIPLES,BHD,E,Créditos Hipotecarios,0,42,106490062.23,1279387747.3249,12.01415156056201,102328199.19,101824248.63,4028.78,0.0,42819075.89,72828531.08999999
2020-01,BANCOS MÚLTIPLES,BANESCO,E,Tarjetas de créditos,424,489,18064239.17,1083680664.96,59.99038513394527,15049267.25,18049998.76,0.0,0.0,0.0,15050624.83
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,D1,Créditos comerciales,846,3093,13012215849.65,105495652253.6134,8.107431775845544,12877497090.79,394409451.3400002,27033667.96999999,92586176.64000003,11102944849.52,916507317.0600008
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,A,Créditos comerciales,19528,56228,156764835112.5406,1552735332942.961,9.904870131290995,155044542788.6101,90817.48000000001,54994.95,9837510011.379984,14669385933.06999,600360384.1700004
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,B,Tarjetas de créditos,13749,14934,308194185.4200001,18027484513.61999,58.49391509139777,282377876.11,0.0,0.0,17540312.25999999,0.0,9245840.739999983
2020-01,BANCOS MÚLTIPLES,BHD,D1,Créditos Hipotecarios,0,46,131803359.36,1668978619.2238,12.66264097764951,126402087.8,128078385.02,26983.08,0.0,105761004.32,10342069.71
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,E,Créditos Hipotecarios,0,214,436369162.1600001,5302301253.709903,12.15095316878911,422160586.5099999,403119571.73,736599.33,0.0,280823807.22,236433546.12
2020-01,BANCOS MÚLTIPLES,BELLBANK,D1,Créditos comerciales,0,3,3596511.92,61795467.08,17.18205540661742,3448711.52,3596511.92,0.0,0.0,3299570.87,142145.52
2020-01,BANCOS MÚLTIPLES,BLH,A,Créditos comerciales,1100,831,2346052646.760001,26623713200.08698,11.34830168319345,2333029092.200002,0.0,0.0,39383060.23,1261416690.8,23460528.56
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,B,Créditos comerciales,813,3079,24463681972.22998,203804666184.1349,8.330907277795895,24285848550.52999,57626278.48,57626278.48,3809990660.650001,7667385033.799998,564709045.2699995
2020-01,BANCOS MÚLTIPLES,BDI,A,Tarjetas de créditos,7978,10301,486528670.28,28393667148.96,58.35969981505772,477611065.0099998,0.0,0.0,280638084.08,0.0,4865374.630000003
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,D1,Créditos Hipotecarios,0,268,471486623.8799999,5612069280.485202,11.90292363821875,456816298.2599999,279368678.5600001,3811594.75,0.0,378621775.3899999,69287872.60999997
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,C,Créditos de consumo,0,7462,696469810.7400004,13185262123.21931,18.93156303388074,673002030.8099997,107007011.03,106258045.93,2186100.0,158662119.59,115384908.47
2020-01,BANCOS MÚLTIPLES,BHD,E,Créditos de consumo,0,2598,357406415.6000001,6535176203.218102,18.2849997033408,336075324.16,331168250.8900004,390431.6400000001,14440.0,40671761.92,308859799.6300001
2020-01,BANCOS MÚLTIPLES,BDI,C,Créditos de consumo,0,12,1870518.56,40721930.912,21.77039660702431,1805190.27,125376.21,125376.21,0.0,773891.96,227064.24
2020-01,BANCOS MÚLTIPLES,BELLBANK,E,Créditos comerciales,0,10,37282590.17,630931328.5300001,16.92294783310652,36291537.31,2442734.05,0.0,0.0,36524785.58,8438005.23
2020-01,BANCOS MÚLTIPLES,BLH,A,Créditos Hipotecarios,0,339,1928123665.82,17527620499.66201,9.090506387310892,1920608169.32,0.0,0.0,7759817.9,0.0,19037952.01
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,B,Créditos Hipotecarios,0,652,1216691140.73,14228424234.1503,11.69436002107603,1191980403.48,24126740.47999999,24126740.47999999,0.0,1024103336.25,23728135.98999999
2020-01,BANCOS MÚLTIPLES,BDI,D1,Créditos Hipotecarios,0,1,178185.67,3207342.06,18.0,176596.31,0.0,0.0,0.0,178185.67,1781.85
2020-01,BANCOS MÚLTIPLES,BDI,A,Créditos de consumo,0,3110,418449050.91,6353748251.807004,15.18404268808717,415657496.3699999,0.0,0.0,26174489.96,28759931.25,4184997.950000002
